Sigla;Código;Município;pib
MG;3108552;Brasilândia de Minas;193769,3717
MG;3108602;Brasília de Minas;176184,7411
MG;3108701;Brás Pires;23355,3023
MG;3108800;Braúnas;99469,16442
MG;3108909;Brasópolis;92442,7811
MG;3109006;Brumadinho;2158954,771
MG;3109105;Bueno Brandão;112378,2532
MG;3109204;Buenópolis;84363,74735
MG;3109253;Bugre;22200,42106
MG;3109303;Buritis;543370,6868
MG;3109402;Buritizeiro;343630,8498
MG;3109451;Cabeceira Grande;222848,1982
MG;3109501;Cabo Verde;135767,6324
MG;3109600;Cachoeira da Prata;24210,49325
MG;3109709;Cachoeira de Minas;250679,7156
MG;3109808;Cachoeira Dourada;125860,1145
MG;3109907;Caetanópolis;147167,5332
MG;3110004;Caeté;501788,8939
MG;3110103;Caiana;41385,26704
MG;3110202;Cajuri;45430,1522
MG;3110301;Caldas;157623,5497
MG;3110400;Camacho;33084,49982
MG;3110509;Camanducaia;462313,3355
MG;3110608;Cambuí;870931,2289
MG;3110707;Cambuquira;173121,0849
MG;3110806;Campanário;24957,38491
MG;3110905;Campanha;205337,79
MG;3111002;Campestre;227051,331
MG;3111101;Campina Verde;250598,0243
MG;3111150;Campo Azul;18981,318
MG;3111200;Campo Belo;581010,2921
MG;3111309;Campo do Meio;107894,1024
MG;3111408;Campo Florido;331856,5696
MG;3111507;Campos Altos;202727,8704
MG;3111606;Campos Gerais;328889,0756
MG;3111705;Canaã;36158,89263
MG;3111804;Canápolis;316500,9438
MG;3111903;Cana Verde;37409,00255
MG;3112000;Candeias;173255,0586
MG;3112059;Cantagalo;26496,44854
MG;3112109;Caparaó;45571,59481
MG;3112208;Capela Nova;29164,2522
MG;3112307;Capelinha;414554,2817
MG;3112406;Capetinga;96759,81492
MG;3112505;Capim Branco;57594,21654
MG;3112604;Capinópolis;311174,2058
MG;3112653;Capitão Andrade;28387,95168
MG;3112703;Capitão Enéas;234112,2581
MG;3112802;Capitólio;153322,3873
MG;3112901;Caputira;67104,01464
MG;3113008;Caraí;98229,32426
MG;3113107;Caranaíba;19364,56678
MG;3113206;Carandaí;350991,934
MG;3113305;Carangola;298411,2277
MG;3113404;Caratinga;1065855,482
MG;3113503;Carbonita;103015,9662
MG;3113602;Careaçu;81316,42936
MG;3113701;Carlos Chagas;221636,3665
MG;3113800;Carmésia;18573,32842
MG;3113909;Carmo da Cachoeira;150145,2969
MG;3114006;Carmo da Mata;124044,701
MG;3114105;Carmo de Minas;135580,9095
MG;3114204;Carmo do Cajuru;293640,4572
MG;3114303;Carmo do Paranaíba;494920,2914
MG;3114402;Carmo do Rio Claro;324252,2788
MG;3114501;Carmópolis de Minas;215480,1119
MG;3114550;Carneirinho;190215,101
MG;3114600;Carrancas;82928,78174
MG;3114709;Carvalhópolis;33323,97196
MG;3114808;Carvalhos;37642,40619
MG;3114907;Casa Grande;32322,20351
MG;3115003;Cascalho Rico;37346,45037
MG;3115102;Cássia;203731,0393
MG;3115201;Conceição da Barra de Minas;32085,06541
MG;3115300;Cataguases;770983,1202
MG;3115359;Catas Altas;2349141,396
MG;3115409;Catas Altas da Noruega;19042,46975
MG;3115458;Catuji;38879,91231
MG;3115474;Catuti;26535,19355
MG;3115508;Caxambu;173201,8426
MG;3115607;Cedro do Abaeté;10459,28412
MG;3115706;Central de Minas;40645,37748
MG;3115805;Centralina;163882,035
MG;3115904;Chácara;22010,4305
MG;3116001;Chalé;53300,52309
MG;3116100;Chapada do Norte;51874,89363
MG;3116159;Chapada Gaúcha;188178,4208
MG;3116209;Chiador;17389,97195
MG;3116308;Cipotânea;34219,77515
MG;3116407;Claraval;84966,86237
MG;3116506;Claro dos Poções;39085,77433
MG;3116605;Cláudio;522207,9783
MG;3116704;Coimbra;65280,66536
MG;3116803;Coluna;56575,17623
MG;3116902;Comendador Gomes;72265,96964
MG;3117009;Comercinho;31803,11381
MG;3117108;Conceição da Aparecida;127987,8221
MG;3117207;Conceição das Pedras;28495,31736
MG;3117306;Conceição das Alagoas;615423,3255
MG;3117405;Conceição de Ipanema;37818,85935
MG;3117504;Conceição do Mato Dentro;4225089,58
MG;3117603;Conceição do Pará;230659,7514
MG;3117702;Conceição do Rio Verde;160384,7148
MG;3117801;Conceição dos Ouros;105090,9246
MG;3117836;Cônego Marinho;29632,92672
MG;3117876;Confins;226743,2382
MG;3117900;Congonhal;102889,4614
MG;3118007;Congonhas;1921212,619
MG;3118106;Congonhas do Norte;23013,59936
MG;3118205;Conquista;228799,5243
MG;3118304;Conselheiro Lafaiete;1455761,405
MG;3118403;Conselheiro Pena;179197,0486
MG;3118502;Consolação;14681,55605
MG;3118601;Contagem;17029020,21
MG;3118700;Coqueiral;109310,3957
MG;3118809;Coração de Jesus;127387,508
MG;3118908;Cordisburgo;68241,15719
MG;3119005;Cordislândia;53108,6653
MG;3119104;Corinto;285823,7692
MG;3119203;Coroaci;58627,72788
MG;3119302;Coromandel;716644,8845
MG;3119401;Coronel Fabriciano;931756,2187
MG;3119500;Coronel Murta;55953,85573
MG;3119609;Coronel Pacheco;28056,0517
MG;3119708;Coronel Xavier Chaves;42440,25151
MG;3119807;Córrego Danta;77304,68752
MG;3119906;Córrego do Bom Jesus;21304,15107
MG;3119955;Córrego Fundo;149675,6888
MG;3120003;Córrego Novo;17984,21763
MG;3120102;Couto de Magalhães de Minas;29534,89719
MG;3120151;Crisólita;35672,94624
MG;3120201;Cristais;137955,5582
MG;3120300;Cristália;27621,45411
MG;3120409;Cristiano Otoni;57741,26084
MG;3120508;Cristina;109184,3577
MG;3120607;Crucilândia;38790,75212
MG;3120706;Cruzeiro da Fortaleza;85912,61393
MG;3120805;Cruzília;148327,0825
MG;3120839;Cuparaque;34568,947
MG;3120870;Curral de Dentro;37556,04684
MG;3120904;Curvelo;1041268,275
MG;3121001;Datas;34526,93434
MG;3121100;Delfim Moreira;58684,67837
MG;3121209;Delfinópolis;115415,7682
MG;3121258;Delta;217890,238
MG;3121308;Descoberto;38159,16186
MG;3121407;Desterro de Entre Rios;121931,9312
MG;3121506;Desterro do Melo;23632,11902
MG;3121605;Diamantina;459459,2757
MG;3121704;Diogo de Vasconcelos;20045,63861
MG;3121803;Dionísio;42424,84687
MG;3121902;Divinésia;29742,62643
MG;3122009;Divino;149127,1902
MG;3122108;Divino das Laranjeiras;28799,67571
MG;3122207;Divinolândia de Minas;38415,90587
MG;3122306;Divinópolis;3889133,042
MG;3122355;Divisa Alegre;83188,7934
MG;3122405;Divisa Nova;60477,21836
MG;3122454;Divisópolis;43507,37297
MG;3122470;Dom Bosco;32350,67876
MG;3122504;Dom Cavati;32512,19408
MG;3122603;Dom Joaquim;31660,27078
MG;3122702;Dom Silvério;50383,44434
MG;3122801;Dom Viçoso;18229,75826
MG;3122900;Dona Eusébia;51304,45512
MG;3123007;Dores de Campos;149478,6961
MG;3123106;Dores de Guanhães;89012,21434
MG;3123205;Dores do Indaiá;164424,4651
MG;3123304;Dores do Turvo;31204,66686
MG;3123403;Doresópolis;39274,36447
MG;3123502;Douradoquara;37033,22268
MG;3123528;Durandé;57367,3482
MG;3123601;Elói Mendes;329533,2697
MG;3123700;Engenheiro Caldas;73304,14905
MG;3123809;Engenheiro Navarro;42974,74586
MG;3123858;Entre Folhas;30307,93006
MG;3123908;Entre Rios de Minas;126143,4665
MG;3124005;Ervália;191146,8484
MG;3124104;Esmeraldas;454252,5072
MG;3124203;Espera Feliz;191867,132
MG;3124302;Espinosa;169909,4508
MG;3124401;Espírito Santo do Dourado;57062,05623
MG;3124500;Estiva;280968,5066
MG;3124609;Estrela Dalva;20025,09909
MG;3124708;Estrela do Indaiá;77159,51045
MG;3124807;Estrela do Sul;164280,6885
MG;3124906;Eugenópolis;103551,861
MG;3125002;Ewbank da Câmara;25377,51147
MG;3125101;Extrema;6372491,337
MG;3125200;Fama;27371,2454
MG;3125309;Faria Lemos;30052,11967
MG;3125408;Felício dos Santos;34421,9027
MG;3125507;São Gonçalo do Rio Preto;22758,72258
MG;3125606;Felisburgo;35340,57945
MG;3125705;Felixlândia;131245,2034
MG;3125804;Fernandes Tourinho;21405,91506
MG;3125903;Ferros;69052,00145
MG;3125952;Fervedouro;73236,9288
MG;3126000;Florestal;66664,28217
MG;3126109;Formiga;1033562,687
MG;3126208;Formoso;147005,5511
MG;3126307;Fortaleza de Minas;51958,45214
MG;3126406;Fortuna de Minas;23934,14333
MG;3126505;Francisco Badaró;36324,14241
MG;3126604;Francisco Dumont;35294,83233
MG;3126703;Francisco Sá;210931,5417
MG;3126752;Franciscópolis;48000,85994
MG;3126802;Frei Gaspar;37394,06471
MG;3126901;Frei Inocêncio;70249,82896
MG;3126950;Frei Lagonegro;16599,2004
MG;3127008;Fronteira;436535,7702
MG;3127057;Fronteira dos Vales;22851,61723
MG;3127073;Fruta de Leite;21980,08802
MG;3127107;Frutal;1154469,51
MG;3127206;Funilândia;38900,45183
MG;3127305;Galiléia;53091,86024
MG;3127339;Gameleiras;26766,26316
MG;3127354;Glaucilândia;19199,317
MG;3127370;Goiabeira;23297,41819
MG;3127388;Goianá;29068,0899
MG;3127404;Gonçalves;44012,92527
MG;3127503;Gonzaga;32197,09916
MG;3127602;Gouveia;92858,7064
MG;3127701;Governador Valadares;3446362,127
MG;3127800;Grão Mogol;359856,6044
MG;3127909;Grupiara;20632,88218
MG;3128006;Guanhães;465390,5291
MG;3128105;Guapé;182420,8197
MG;3128204;Guaraciaba;53789,27033
MG;3128253;Guaraciama;36423,57236
MG;3128303;Guaranésia;256434,049
MG;3128402;Guarani;81090,96144
MG;3128501;Guarará;26904,90492
MG;3128600;Guarda-Mor;350442,9686
MG;3128709;Guaxupé;1310032,105
MG;3128808;Guidoval;57724,92258
MG;3128907;Guimarânia;152756,1501
MG;3129004;Guiricema;53417,22492
MG;3129103;Gurinhatã;84402,95916
MG;3129202;Heliodora;62297,29998
MG;3129301;Iapu;82353,67516
MG;3129400;Ibertioga;48343,02968
MG;3129509;Ibiá;716432,0204
MG;3129608;Ibiaí;53665,56639
MG;3129657;Ibiracatu;23930,87568
MG;3129707;Ibiraci;339978,0828
MG;3129806;Ibirité;1495419,952
MG;3129905;Ibitiúra de Minas;36241,98432
MG;3130002;Ibituruna;27708,74708
MG;3130051;Icaraí de Minas;52024,27196
MG;3130101;Igarapé;451548,2926
MG;3130200;Igaratinga;269903,3066
MG;3130309;Iguatama;274216,6059
MG;3130408;Ijaci;231014,5249
MG;3130507;Ilicínea;123883,1856
MG;3130556;Imbé de Minas;47228,76068
MG;3130606;Inconfidentes;61887,44318
MG;3130655;Indaiabira;40757,87804
MG;3130705;Indianópolis;408765,8713
MG;3130804;Ingaí;54010,53698
MG;3130903;Inhapim;188961,7235
MG;3131000;Inhaúma;68055,36789
MG;3131109;Inimutaba;42356,693
MG;3131158;Ipaba;84172,35636
MG;3131208;Ipanema;160851,0553
MG;3131307;Ipatinga;8220092,181
MG;3131406;Ipiaçu;85464,94574
MG;3131505;Ipuiúna;88007,17824
MG;3131604;Iraí de Minas;140766,2049
MG;3131703;Itabira;6989005,591
MG;3131802;Itabirinha de Mantena;63683,25082
MG;3131901;Itabirito;6133767,49
MG;3132008;Itacambira;28811,8127
MG;3132107;Itacarambi;105667,8984
MG;3132206;Itaguara;187873,1289
MG;3132305;Itaipé;56764,69999
MG;3132404;Itajubá;1535068,229
MG;3132503;Itamarandiba;302261,9211
MG;3132602;Itamarati de Minas;31432,93563
MG;3132701;Itambacuri;159205,5596
MG;3132800;Itambé do Mato Dentro;16768,65144
MG;3132909;Itamogi;110336,9049
MG;3133006;Itamonte;551848,8408
MG;3133105;Itanhandu;219506,3248
MG;3133204;Itanhomi;70626,07563
MG;3133303;Itaobim;144098,7421
MG;3133402;Itapagipe;240064,5178
MG;3133501;Itapecerica;293712,8124
MG;3133600;Itapeva;396149,4707
MG;3133709;Itatiaiuçu;3237211,455
MG;3133758;Itaú de Minas;338092,6482
MG;3133808;Itaúna;2373692,659
MG;3133907;Itaverava;33312,76858
MG;3134004;Itinga;69207,91509
MG;3134103;Itueta;57047,1184
MG;3134202;Ituiutaba;1772902,342
MG;3134301;Itumirim;42769,81746
MG;3134400;Iturama;941762,6997
MG;3134509;Itutinga;80531,2595
MG;3134608;Jaboticatubas;139062,3583
MG;3134707;Jacinto;61424,37035
MG;3134806;Jacuí;70472,96284
MG;3134905;Jacutinga;534011,2006
MG;3135001;Jaguaraçu;51276,44669
MG;3135050;Jaíba;396417,4181
MG;3135076;Jampruca;38530,27365
MG;3135100;Janaúba;748595,9762
MG;3135209;Januária;384928,8239
MG;3135308;Japaraíba;47304,85027
MG;3135357;Japonvar;36141,62076
MG;3135407;Jeceaba;911795,539
MG;3135456;Jenipapo de Minas;37101,84335
MG;3135506;Jequeri;90551,74478
MG;3135605;Jequitaí;60906,21426
MG;3135704;Jequitibá;58906,87864
MG;3135803;Jequitinhonha;128293,5809
MG;3135902;Jesuânia;48643,18677
MG;3136009;Joaíma;75923,40475
MG;3136108;Joanésia;51454,76707
MG;3136207;João Monlevade;2264594,661
MG;3136306;João Pinheiro;1006516,34
MG;3136405;Joaquim Felício;33766,50527
MG;3136504;Jordânia;50028,6708
MG;3136520;José Gonçalves de Minas;24154,94318
MG;3136553;José Raydan;33767,90569
MG;3136579;Josenópolis;27087,89338
MG;3136603;Nova União;50190,18613
MG;3136652;Juatuba;670874,4298
MG;3136702;Juiz de Fora;9475048,495
MG;3136801;Juramento;24091,45739
MG;3136900;Juruaia;127956,0792
MG;3136959;Juvenília;30637,96282
MG;3137007;Ladainha;68774,71792
MG;3137106;Lagamar;113213,3714
MG;3137205;Lagoa da Prata;927207,1816
MG;3137304;Lagoa dos Patos;27826,84932
MG;3137403;Lagoa Dourada;161243,6402
MG;3137502;Lagoa Formosa;264018,2671
MG;3137536;Lagoa Grande;136543,9329
MG;3137601;Lagoa Santa;1022023,678
MG;3137700;Lajinha;186570,2697
MG;3137809;Lambari;189086,8278
MG;3137908;Lamim;24335,1308
MG;3138005;Laranjal;44714,53662
MG;3138104;Lassance;89879,54228
MG;3138203;Lavras;1373314,835
MG;3138302;Leandro Ferreira;25912,47263
MG;3138351;Leme do Prado;30904,97658
MG;3138401;Leopoldina;519569,1167
MG;3138500;Liberdade;50246,203
MG;3138609;Lima Duarte;158555,7639
MG;3138625;Limeira do Oeste;216062,2206
MG;3138658;Lontra;43813,59855
MG;3138674;Luisburgo;61986,87313
MG;3138682;Luislândia;30563,74046
MG;3138708;Luminárias;69586,96261
MG;3138807;Luz;306704,0592
MG;3138906;Machacalis;52492,94648
MG;3139003;Machado;641323,1943
MG;3139102;Madre de Deus de Minas;140970,1997
MG;3139201;Malacacheta;110082,0281
MG;3139250;Mamonas;28058,38573
MG;3139300;Manga;113607,3568
MG;3139409;Manhuaçu;1530440,302
MG;3139508;Manhumirim;263043,1066
MG;3139607;Mantena;222639,0685
MG;3139706;Maravilhas;108837,9867
MG;3139805;Mar de Espanha;106235,0693
MG;3139904;Maria da Fé;94825,36551
MG;3140001;Mariana;3439145,753
MG;3140100;Marilac;26943,64993
MG;3140159;Mário Campos;92427,84327
MG;3140209;Maripá de Minas;35000,74374
MG;3140308;Marliéria;28218,50063
MG;3140407;Marmelópolis;19976,55114
MG;3140506;Martinho Campos;221627,0303
MG;3140530;Martins Soares;100681,463
MG;3140555;Mata Verde;42748,81113
MG;3140605;Materlândia;28257,71245
MG;3140704;Mateus Leme;503988,9566
MG;3140803;Matias Barbosa;293250,6731
MG;3140852;Matias Cardoso;74053,37475
MG;3140902;Matipó;198543,4099
MG;3141009;Mato Verde;73558,55902
MG;3141108;Matozinhos;703083,6659
MG;3141207;Matutina;45370,86767
MG;3141306;Medeiros;115455,4468
MG;3141405;Medina;118126,0514
MG;3141504;Mendes Pimentel;36129,01696
MG;3141603;Mercês;70846,40867
MG;3141702;Mesquita;27757,76184
MG;3141801;Minas Novas;163448,8379
MG;3141900;Minduri;76456,49868
MG;3142007;Mirabela;76097,52387
MG;3142106;Miradouro;81227,26917
MG;3142205;Miraí;155964,9834
MG;3142254;Miravânia;21850,3156
MG;3142304;Moeda;35870,40572
MG;3142403;Moema;71241,79445
MG;3142502;Monjolos;21851,71602
MG;3142601;Monsenhor Paulo;106505,8175
MG;3142700;Montalvânia;77217,39456
MG;3142809;Monte Alegre de Minas;353789,5101
MG;3142908;Monte Azul;119564,2846
MG;3143005;Monte Belo;170800,1191
MG;3143104;Monte Carmelo;727619,9907
MG;3143153;Monte Formoso;20565,19513
MG;3143203;Monte Santo de Minas;225632,2369
MG;3143302;Montes Claros;5041635,892
MG;3143401;Monte Sião;283094,3469
MG;3143450;Montezuma;42512,60664
MG;3143500;Morada Nova de Minas;252622,5675
MG;3143609;Morro da Garça;23830,97892
MG;3143708;Morro do Pilar;20594,60399
MG;3143807;Munhoz;60014,14553
MG;3143906;Muriaé;1239399,494
MG;3144003;Mutum;237410,2516
MG;3144102;Muzambinho;249947,7618
MG;3144201;Nacip Raydan;17452,05732
MG;3144300;Nanuque;377459,9073
MG;3144359;Naque;42035,06278
MG;3144375;Natalândia;35070,76483
MG;3144409;Natércia;53848,08804
MG;3144508;Nazareno;312238,9932
MG;3144607;Nepomuceno;288721,242
MG;3144656;Ninheira;58996,97244
MG;3144672;Nova Belém;38944,79853
MG;3144706;Nova Era;202076,6742
MG;3144805;Nova Lima;9822860,538
MG;3144904;Nova Módica;27378,24751
MG;3145000;Nova Ponte;521099,311
MG;3145059;Nova Porteirinha;54269,61503
MG;3145109;Nova Resende;180033,1004
MG;3145208;Nova Serrana;1230453,599
MG;3145307;Novo Cruzeiro;154255,0683
MG;3145356;Novo Oriente de Minas;56750,22896
MG;3145372;Novorizonte;32871,16889
MG;3145406;Olaria;14895,35379
MG;3145455;Olhos-d'Água;98930,93562
MG;3145505;Olímpio Noronha;20506,37741
MG;3145604;Oliveira;515845,8618
MG;3145703;Oliveira Fortes;18920,63305
MG;3145802;Onça de Pitangui;30302,79518
MG;3145851;Oratórios;33079,83175
MG;3145877;Orizânia;56978,03092
MG;3145901;Ouro Branco;4127869,026
MG;3146008;Ouro Fino;436086,2347
MG;3146107;Ouro Preto;4444021,732
MG;3146206;Ouro Verde de Minas;31656,06951
MG;3146255;Padre Carvalho;27164,44978
MG;3146305;Padre Paraíso;99858,94851
MG;3146404;Paineiras;38663,31373
MG;3146503;Pains;248074,4641
MG;3146552;Pai Pedro;27375,91348
MG;3146602;Paiva;12744,3058
MG;3146701;Palma;48395,3121
MG;3146750;Palmópolis;29816,84879
MG;3146909;Papagaios;174746,0411
MG;3147006;Paracatu;3360366,888
MG;3147105;Pará de Minas;1879037,981
MG;3147204;Paraguaçu;303776,7107
MG;3147303;Paraisópolis;276625,3315
MG;3147402;Paraopeba;428756,4267
MG;3147501;Passabém;11014,31799
MG;3147600;Passa Quatro;220530,5
MG;3147709;Passa Tempo;224217,8108
MG;3147808;Passa-Vinte;19646,51838
MG;3147907;Passos;1411956,209
MG;3147956;Patis;25682,80344
MG;3148004;Patos de Minas;2868591,477
MG;3148103;Patrocínio;1717105,8
MG;3148202;Patrocínio do Muriaé;54179,98803
MG;3148301;Paula Cândido;63866,23928
MG;3148400;Paulistas;31439,47093
MG;3148509;Pavão;43449,48887
MG;3148608;Peçanha;126107,0556
MG;3148707;Pedra Azul;187398,8527
MG;3148756;Pedra Bonita;45036,16684
MG;3148806;Pedra do Anta;26947,38439
MG;3148905;Pedra do Indaiá;54221,53388
MG;3149002;Pedra Dourada;19742,68068
MG;3149101;Pedralva;85275,42198
MG;3149150;Pedras de Maria da Cruz;51157,41083
MG;3149200;Pedrinópolis;95282,36984
MG;3149309;Pedro Leopoldo;905165,4751
MG;3149408;Pedro Teixeira;14129,32303
MG;3149507;Pequeri;29194,12787
MG;3149606;Pequi;39914,82407
MG;3149705;Perdigão;106053,948
MG;3149804;Perdizes;760472,0205
MG;3149903;Perdões;292707,3095
MG;3149952;Periquito;52132,10445
MG;3150000;Pescador;21987,09013
MG;3150109;Piau;43259,96511
MG;3150158;Piedade de Caratinga;65716,19657
MG;3150208;Piedade de Ponte Nova;29285,15529
MG;3150307;Piedade do Rio Grande;51535,99154
MG;3150406;Piedade dos Gerais;41929,09753
MG;3150505;Pimenta;131509,8831
MG;3150539;Pingo-d'Água;24610,08029
MG;3150570;Pintópolis;33245,54833
MG;3150604;Piracema;141535,9701
MG;3150703;Pirajuba;188507,9868
MG;3150802;Piranga;93444,54955
MG;3150901;Piranguçu;36582,75364
MG;3151008;Piranguinho;63522,66911
MG;3151107;Pirapetinga;298331,8705
MG;3151206;Pirapora;1342191,86
MG;3151305;Piraúba;93671,8847
MG;3151404;Pitangui;346061,9822
MG;3151503;Piumhi;597903,1143
MG;3151602;Planura;268100,4968
MG;3151701;Poço Fundo;188528,0595
MG;3151800;Poços de Caldas;3982656,015
MG;3151909;Pocrane;56819,31644
MG;3152006;Pompéu;546251,8214
MG;3152105;Ponte Nova;1001298,835
MG;3152131;Ponto Chique;24309,45639
MG;3152170;Ponto dos Volantes;57210,03414
MG;3152204;Porteirinha;245978,9662
MG;3152303;Porto Firme;60800,249
MG;3152402;Poté;78794,73639
MG;3152501;Pouso Alegre;5004217,554
MG;3152600;Pouso Alto;129524,0849
MG;3152709;Prados;106992,6975
MG;3152808;Prata;603741,0063
MG;3152907;Pratápolis;106735,0199
MG;3153004;Pratinha;72229,55867
MG;3153103;Presidente Bernardes;31610,3224
MG;3153202;Presidente Juscelino;22917,90387
MG;3153301;Presidente Kubitschek;16895,62303
MG;3153400;Presidente Olegário;341464,3972
MG;3153509;Alto Jequitibá;58632,86276
MG;3153608;Prudente de Morais;94825,36551
MG;3153707;Quartel Geral;36238,71667
MG;3153806;Queluzito;18693,76471
MG;3153905;Raposos;90420,10512
MG;3154002;Raul Soares;197653,2084
MG;3154101;Recreio;57567,60852
MG;3154150;Reduto;56588,71364
MG;3154200;Resende Costa;96878,85077
MG;3154309;Resplendor;129705,673
MG;3154408;Ressaquinha;174135,4571
MG;3154457;Riachinho;73411,51473
MG;3154507;Riacho dos Machados;248690,6497
MG;3154606;Ribeirão das Neves;2418860,466
MG;3154705;Ribeirão Vermelho;49177,21431
MG;3154804;Rio Acima;220552,9068
MG;3154903;Rio Casca;110804,6458
MG;3155009;Rio Doce;24214,69452
MG;3155108;Rio do Prado;24588,14035
MG;3155207;Rio Espera;27826,38251
MG;3155306;Rio Manso;53096,99512
MG;3155405;Rio Novo;56067,2899
MG;3155504;Rio Paranaíba;423092,187
MG;3155603;Rio Pardo de Minas;161266,5138
MG;3155702;Rio Piracicaba;625195,4693
MG;3155801;Rio Pomba;194863,568
MG;3155900;Rio Preto;32294,66188
MG;3156007;Rio Vermelho;65711,52849
MG;3156106;Ritápolis;42179,30623
MG;3156205;Rochedo de Minas;53559,60114
MG;3156304;Rodeiro;256788,8226
MG;3156403;Romaria;126760,119
MG;3156452;Rosário da Limeira;31621,05897
MG;3156502;Rubelita;37384,26176
MG;3156601;Rubim;52151,71035
MG;3156700;Sabará;1961398,191
MG;3156809;Sabinópolis;156261,406
MG;3156908;Sacramento;976087,9733
MG;3157005;Salinas;311551,3861
MG;3157104;Salto da Divisa;61652,17231
MG;3157203;Santa Bárbara;760192,4029
MG;3157252;Santa Bárbara do Leste;52119,03384
MG;3157278;Santa Bárbara do Monte Verde;26255,10918
MG;3157302;Santa Bárbara do Tugúrio;32953,79378
MG;3157336;Santa Cruz de Minas;48323,42378
MG;3157377;Santa Cruz de Salinas;22877,75844
MG;3157401;Santa Cruz do Escalvado;35927,82302
MG;3157500;Santa Efigênia de Minas;23816,04109
MG;3157609;Santa Fé de Minas;27981,36253
MG;3157658;Santa Helena de Minas;27051,94922
MG;3157708;Santa Juliana;401679,2699
MG;3157807;Santa Luzia;2469685,51
MG;3157906;Santa Margarida;165279,1893
MG;3158003;Santa Maria de Itabira;125591,2335
MG;3158102;Santa Maria do Salto;23338,03043
MG;3158201;Santa Maria do Suaçuí;79749,35729
MG;3158300;Santana da Vargem;113392,1586
MG;3158409;Santana de Cataguases;23309,08837
MG;3158508;Santana de Pirapama;54469,40855
MG;3158607;Santana do Deserto;22116,39575
MG;3158706;Santana do Garambéu;18278,77303
MG;3158805;Santana do Jacaré;49478,30501
MG;3158904;Santana do Manhuaçu;88621,49663
MG;3158953;Santana do Paraíso;350321,5987
MG;3159001;Santana do Riacho;48448,06132
MG;3159100;Santana dos Montes;23277,81229
MG;3159209;Santa Rita de Caldas;106411,0556
MG;3159308;Santa Rita de Jacutinga;34925,12096
MG;3159357;Santa Rita de Minas;70867,415
MG;3159407;Santa Rita de Ibitipoca;28830,48499
MG;3159506;Santa Rita do Itueto;83596,31617
MG;3159605;Santa Rita do Sapucaí;907759,99
MG;3159704;Santa Rosa da Serra;47630,21495
MG;3159803;Santa Vitória;374701,543
MG;3159902;Santo Antônio do Amparo;165451,4411
MG;3160009;Santo Antônio do Aventureiro;31705,55109
MG;3160108;Santo Antônio do Grama;39992,31408
MG;3160207;Santo Antônio do Itambé;20869,55348
MG;3160306;Santo Antônio do Jacinto;53474,64221
MG;3160405;Santo Antônio do Monte;393532,0822
MG;3160454;Santo Antônio do Retiro;33026,61571
MG;3160504;Santo Antônio do Rio Abaixo;13302,60732
MG;3160603;Santo Hipólito;23433,72592
MG;3160702;Santos Dumont;514877,7035
MG;3160801;São Bento Abade;41690,559
MG;3160900;São Brás do Suaçuí;37580,32082
MG;3160959;São Domingos das Dores;42674,12196
MG;3161007;São Domingos do Prata;146339,8839
MG;3161056;São Félix de Minas;20490,50596
MG;3161106;São Francisco;302560,2109
MG;3161205;São Francisco de Paula;70245,62769
MG;3161304;São Francisco de Sales;90601,22635
MG;3161403;São Francisco do Glória;33874,80456
MG;3161502;São Geraldo;123439,7187
MG;3161601;São Geraldo da Piedade;20922,76951
MG;3161650;São Geraldo do Baixio;23314,22325
MG;3161700;São Gonçalo do Abaeté;151983,1172
MG;3161809;São Gonçalo do Pará;145292,8352
MG;3161908;São Gonçalo do Rio Abaixo;3549533,073
MG;3162005;São Gonçalo do Sapucaí;460993,2045
MG;3162104;São Gotardo;555201,9175
MG;3162203;São João Batista do Glória;125178,1091
MG;3162252;São João da Lagoa;28203,5628
MG;3162302;São João da Mata;25712,67911
MG;3162401;São João da Ponte;125522,146
MG;3162450;São João das Missões;43132,99353
MG;3162500;São João del Rei;1402780,178
MG;3162559;São João do Manhuaçu;85471,94785
MG;3162575;São João do Manteninha;37924,8246
MG;3162609;São João do Oriente;47556,92621
MG;3162658;São João do Pacuí;20841,07824
MG;3162708;São João do Paraíso;133077,422
MG;3162807;São João Evangelista;118152,6594
MG;3162906;São João Nepomuceno;236348,7318
MG;3162922;São Joaquim de Bicas;505717,544
MG;3162948;São José da Barra;416147,495
MG;3162955;São José da Lapa;291845,5832
MG;3163003;São José da Safira;23134,96926
MG;3163102;São José da Varginha;53406,02154
MG;3163201;São José do Alegre;27046,81434
MG;3163300;São José do Divino;24762,25947
MG;3163409;São José do Goiabal;31457,20961
MG;3163508;São José do Jacuri;46639,18308
MG;3163607;São José do Mantimento;20621,212
MG;3163706;São Lourenço;549862,5758
MG;3163805;São Miguel do Anta;49056,31122
MG;3163904;São Pedro da União;69164,96882
MG;3164001;São Pedro dos Ferros;62743,56775
MG;3164100;São Pedro do Suaçuí;38178,76777
MG;3164209;São Romão;113490,655
MG;3164308;São Roque de Minas;150865,1138
MG;3164407;São Sebastião da Bela Vista;206795,6291
MG;3164431;São Sebastião da Vargem Alegre;31190,19584
MG;3164472;São Sebastião do Anta;48660,45864
MG;3164506;São Sebastião do Maranhão;47061,64367
MG;3164605;São Sebastião do Oeste;278685,3521
MG;3164704;São Sebastião do Paraíso;1044024,305
MG;3164803;São Sebastião do Rio Preto;12122,9853
